2, 121
3, 118.667
4, 118.25
5, 119.4
6, 119.833
7, 118.714
9, 118.556
11, 119.182
13, 119
15, 119.4
18, 119.444
21, 119.857
23, 119.696
25, 119.68
28, 119.821
31, 119.645
34, 119.824
38, 119.842
42, 120.119
47, 120.255
52, 120.423
58, 120.862
65, 121.062
73, 121.315
82, 121.573
92, 121.848
103, 122.107
115, 122.391
129, 122.527
145, 122.828
163, 123.104
183, 123.372
205, 123.6
230, 123.843
258, 124.012
290, 124.193
326, 124.368
366, 124.541
411, 124.655
462, 124.768
519, 124.886
583, 124.981
655, 125.084
736, 125.168
828, 125.25
931, 125.327
1047, 125.391
1177, 125.451
1324, 125.502
1489, 125.547
1675, 125.593
1884, 125.632
2119, 125.667
2383, 125.697
2680, 125.728
3015, 125.757
3391, 125.78
3814, 125.803
4290, 125.824
4826, 125.842
5429, 125.857
6107, 125.871
6870, 125.885
7728, 125.897
8694, 125.907
9780, 125.917
11002, 125.926
12377, 125.934
13924, 125.941
15664, 125.947
17622, 125.952
19824, 125.957
22302, 125.962
